                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0511,                 0.7664,                0.93235,                0.53897,                0.30348,                0.31325,                0.18632,                 1.1074,                0.89222,                0.94118,             0.00027761,             0.00027761,             0.00027761
                      1,                 0.9736,                0.60089,                0.90573,                0.47586,                0.26577,                0.27802,                0.16404,                 1.0919,                0.96325,                0.95598,              0.0005003,              0.0005003,              0.0005003
                      2,                0.92822,                0.55634,                0.89399,                0.56601,                0.29796,                0.32543,                0.19936,                 1.0722,                0.85486,                 0.9541,             0.00066802,             0.00066802,             0.00066802
                      3,                0.88903,                0.51836,                0.88229,                0.59756,                0.30347,                0.33197,                0.20493,                 1.0457,                0.85417,                0.93505,              0.0005856,              0.0005856,              0.0005856
                      4,                0.86243,                0.49661,                0.87586,                0.54808,                0.30873,                0.32867,                0.20501,                 1.0474,                0.86015,                 0.9441,              0.0005856,              0.0005856,              0.0005856
                      5,                0.83359,                0.47326,                0.86895,                0.52952,                0.30895,                0.32699,                0.20153,                  1.049,                0.88951,                0.94184,             0.00050313,             0.00050313,             0.00050313
                      6,                0.80599,                0.45244,                0.86242,                0.60323,                0.30413,                0.34221,                 0.2108,                 1.0445,                0.87839,                0.94126,             0.00042066,             0.00042066,             0.00042066
                      7,                0.78341,                0.43554,                0.85687,                0.54393,                0.31503,                0.33807,                0.20866,                 1.0458,                0.90212,                 0.9349,              0.0003382,              0.0003382,              0.0003382
                      8,                0.76065,                0.41859,                0.85165,                0.56367,                0.32091,                0.34456,                0.21116,                 1.0481,                0.90772,                0.94017,             0.00025573,             0.00025573,             0.00025573
                      9,                0.73922,                0.40277,                0.84729,                0.57769,                0.30672,                0.34389,                0.21138,                  1.042,                0.92756,                0.93879,             0.00017326,             0.00017326,             0.00017326
